Distance,Position,Node,Technology,RSSI
1,D1,A,BLE,-53
1,D1,A,BLE,-66
1,D1,A,BLE,-50
1,D1,A,BLE,-49
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-69
1,D1,A,BLE,-49
1,D1,A,BLE,-67
1,D1,A,BLE,-68
1,D1,A,BLE,-52
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-53
1,D1,A,BLE,-66
1,D1,A,BLE,-50
1,D1,A,BLE,-52
1,D1,A,BLE,-53
1,D1,A,BLE,-68
1,D1,A,BLE,-66
1,D1,A,BLE,-68
1,D1,A,BLE,-68
1,D1,A,BLE,-66
1,D1,A,BLE,-65
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-52
1,D1,A,BLE,-52
1,D1,A,BLE,-52
1,D1,A,BLE,-66
1,D1,A,BLE,-53
1,D1,A,BLE,-52
1,D1,A,BLE,-52
1,D1,A,BLE,-54
1,D1,A,BLE,-49
1,D1,A,BLE,-66
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-51
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-70
1,D1,A,BLE,-49
1,D1,A,BLE,-66
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-54
1,D1,A,BLE,-54
1,D1,A,BLE,-67
1,D1,A,BLE,-50
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-66
1,D1,A,BLE,-69
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-70
1,D1,A,BLE,-54
1,D1,A,BLE,-49
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-49
1,D1,A,BLE,-66
1,D1,A,BLE,-50
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-66
1,D1,A,BLE,-52
1,D1,A,BLE,-54
1,D1,A,BLE,-68
1,D1,A,BLE,-49
1,D1,A,BLE,-66
1,D1,A,BLE,-68
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-49
1,D1,A,BLE,-50
1,D1,A,BLE,-52
1,D1,A,BLE,-54
1,D1,A,BLE,-49
1,D1,A,BLE,-52
1,D1,A,BLE,-68
1,D1,A,BLE,-54
1,D1,A,BLE,-70
1,D1,A,BLE,-54
1,D1,A,BLE,-65
1,D1,A,BLE,-68
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-52
1,D1,A,BLE,-50
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-70
1,D1,A,BLE,-50
1,D1,A,BLE,-68
1,D1,A,BLE,-54
1,D1,A,BLE,-49
1,D1,A,BLE,-68
1,D1,A,BLE,-54
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-23
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-24
1,D1,A,LoRaWAN,-25
1,D1,A,LoRaWAN,-24
